"id","valg","parti","rangering_original","rangering","valgt","kummulert","kjønn","personstemmer","medietreff"
"kandidat165",2015,"ap",24,21,"Vara","Nei",1,2722,2509
"kandidat166",2015,"ap",13,15,"Valgt","Nei",0,3796,728
"kandidat167",2015,"ap",1,1,"Valgt","Ja",0,23311,21379
"kandidat168",2015,"ap",48,50,"Ikke valgt","Nei",1,748,31
"kandidat169",2015,"ap",59,61,"Ikke valgt","Nei",0,528,87
"kandidat170",2015,"ap",5,4,"Valgt","Ja",0,3131,562
"kandidat171",2015,"ap",7,9,"Valgt","Ja",0,2144,2582
"kandidat172",2015,"ap",45,39,"Vara","Nei",0,1137,747
"kandidat173",2015,"ap",44,43,"Vara","Nei",1,992,0
"kandidat174",2015,"ap",9,10,"Valgt","Ja",0,1607,39
"kandidat175",2015,"ap",34,46,"Ikke valgt","Nei",1,847,126
"kandidat176",2015,"ap",49,64,"Ikke valgt","Nei",0,432,50
"kandidat177",2015,"ap",51,42,"Vara","Nei",0,1074,20
"kandidat178",2015,"ap",27,36,"Vara","Nei",0,1361,28
"kandidat179",2015,"ap",39,34,"Vara","Nei",0,1398,287
"kandidat180",2015,"ap",61,24,"Vara","Nei",0,2199,310
"kandidat181",2015,"ap",37,56,"Ikke valgt","Nei",0,645,18
"kandidat182",2015,"ap",20,31,"Vara","Nei",1,1576,250
"kandidat183",2015,"ap",28,41,"Vara","Nei",1,1075,13
"kandidat184",2015,"ap",30,45,"Ikke valgt","Nei",1,874,39
"kandidat185",2015,"ap",17,12,"Valgt","Nei",0,4490,2174
"kandidat186",2015,"ap",33,11,"Valgt","Nei",0,7470,25838
"kandidat187",2015,"ap",11,18,"Valgt","Nei",0,3340,2356
"kandidat188",2015,"ap",15,44,"Ikke valgt","Nei",0,927,75
"kandidat189",2015,"ap",58,60,"Ikke valgt","Nei",1,583,178
"kandidat190",2015,"ap",60,52,"Ikke valgt","Nei",1,733,141
"kandidat191",2015,"ap",64,23,"Vara","Nei",0,2360,21690
"kandidat192",2015,"ap",36,49,"Ikke valgt","Nei",1,816,161
"kandidat193",2015,"ap",22,35,"Vara","Nei",1,1364,89
"kandidat194",2015,"ap",26,17,"Valgt","Nei",1,3457,1262
"kandidat195",2015,"ap",40,25,"Vara","Nei",1,1806,69
"kandidat196",2015,"ap",43,16,"Valgt","Nei",0,3652,227
"kandidat197",2015,"ap",6,3,"Valgt","Ja",1,4031,323
"kandidat198",2015,"ap",54,53,"Ikke valgt","Nei",1,696,12
"kandidat199",2015,"ap",47,55,"Ikke valgt","Nei",0,660,38
"kandidat200",2015,"ap",4,6,"Valgt","Ja",0,2701,1037
"kandidat201",2015,"ap",41,27,"Vara","Nei",0,1704,2073
"kandidat202",2015,"ap",23,13,"Valgt","Nei",0,4014,43
"kandidat203",2015,"ap",16,38,"Vara","Nei",1,1221,15
"kandidat204",2015,"ap",18,26,"Vara","Nei",1,1704,62
"kandidat205",2015,"ap",55,63,"Ikke valgt","Nei",0,450,299
"kandidat206",2015,"ap",57,29,"Vara","Nei",0,1637,443
"kandidat207",2015,"ap",12,20,"Valgt","Nei",1,3058,815
"kandidat208",2015,"ap",32,40,"Vara","Nei",1,1106,8
"kandidat209",2015,"ap",56,51,"Ikke valgt","Nei",1,745,432
"kandidat210",2015,"ap",8,7,"Valgt","Ja",1,2675,161
"kandidat211",2015,"ap",35,37,"Vara","Nei",0,1294,672
"kandidat212",2015,"ap",3,5,"Valgt","Ja",1,3076,773
"kandidat213",2015,"ap",19,28,"Vara","Nei",0,1641,145
"kandidat214",2015,"ap",53,65,"Ikke valgt","Nei",0,411,181
"kandidat215",2015,"ap",21,30,"Vara","Nei",0,1596,370
"kandidat216",2015,"ap",10,8,"Valgt","Ja",1,2314,255
"kandidat217",2015,"ap",31,48,"Ikke valgt","Nei",0,818,67
"kandidat218",2015,"ap",65,14,"Valgt","Nei",0,3857,4574
"kandidat219",2015,"ap",50,57,"Ikke valgt","Nei",1,625,396
"kandidat220",2015,"ap",42,54,"Ikke valgt","Nei",1,672,13
"kandidat221",2015,"ap",25,22,"Vara","Nei",0,2495,108
"kandidat222",2015,"ap",14,32,"Vara","Nei",1,1419,18
"kandidat223",2015,"ap",29,19,"Valgt","Nei",0,3217,159
"kandidat224",2015,"ap",52,59,"Ikke valgt","Nei",1,592,16
"kandidat225",2015,"ap",62,47,"Ikke valgt","Nei",1,832,7
"kandidat226",2015,"ap",63,62,"Ikke valgt","Nei",1,506,11
"kandidat227",2015,"ap",46,58,"Ikke valgt","Nei",1,609,13
"kandidat228",2015,"ap",2,2,"Valgt","Ja",1,5988,1074
"kandidat229",2015,"ap",38,33,"Vara","Nei",1,1419,83
"kandidat355",2015,"dem",5,2,"Ikke valgt","Nei",1,71,0
"kandidat356",2015,"dem",2,4,"Ikke valgt","Nei",0,63,1
"kandidat357",2015,"dem",1,1,"Ikke valgt","Nei",1,154,31
"kandidat358",2015,"dem",4,5,"Ikke valgt","Nei",0,56,0
"kandidat359",2015,"dem",7,8,"Ikke valgt","Nei",1,24,2
"kandidat360",2015,"dem",3,3,"Ikke valgt","Nei",0,70,578
"kandidat361",2015,"dem",6,7,"Ikke valgt","Nei",0,37,4
"kandidat362",2015,"dem",8,6,"Ikke valgt","Nei",0,47,77
"kandidat400",2015,"fi",7,8,"Ikke valgt","Nei",1,80,309
"kandidat401",2015,"fi",6,9,"Ikke valgt","Nei",1,69,11
"kandidat402",2015,"fi",1,1,"Ikke valgt","Ja",1,860,130
"kandidat403",2015,"fi",2,2,"Ikke valgt","Ja",1,337,167
"kandidat404",2015,"fi",22,28,"Ikke valgt","Nei",1,19,16
"kandidat405",2015,"fi",10,11,"Ikke valgt","Nei",1,56,65
"kandidat406",2015,"fi",12,19,"Ikke valgt","Nei",0,34,8
"kandidat407",2015,"fi",13,16,"Ikke valgt","Nei",1,40,26
"kandidat408",2015,"fi",18,23,"Ikke valgt","Nei",1,31,7
"kandidat409",2015,"fi",16,18,"Ikke valgt","Nei",1,37,18
"kandidat410",2015,"fi",4,5,"Ikke valgt","Ja",0,120,13
"kandidat411",2015,"fi",23,13,"Ikke valgt","Nei",1,48,0
"kandidat412",2015,"fi",21,21,"Ikke valgt","Nei",1,32,0
"kandidat413",2015,"fi",19,20,"Ikke valgt","Nei",1,32,139
"kandidat414",2015,"fi",28,24,"Ikke valgt","Nei",1,31,0
"kandidat415",2015,"fi",9,14,"Ikke valgt","Nei",1,43,3
"kandidat416",2015,"fi",3,3,"Ikke valgt","Ja",1,192,53
"kandidat417",2015,"fi",20,27,"Ikke valgt","Nei",1,22,79
"kandidat418",2015,"fi",25,26,"Ikke valgt","Nei",1,28,95
"kandidat419",2015,"fi",27,12,"Ikke valgt","Nei",1,55,1517
"kandidat420",2015,"fi",17,15,"Ikke valgt","Nei",0,42,261
"kandidat421",2015,"fi",15,6,"Ikke valgt","Nei",0,133,1068
"kandidat422",2015,"fi",5,4,"Ikke valgt","Ja",1,161,16
"kandidat423",2015,"fi",24,25,"Ikke valgt","Nei",1,28,34
"kandidat424",2015,"fi",11,10,"Ikke valgt","Nei",1,61,118
"kandidat425",2015,"fi",26,22,"Ikke valgt","Nei",1,32,3
"kandidat426",2015,"fi",8,7,"Ikke valgt","Nei",1,97,11
"kandidat427",2015,"fi",14,17,"Ikke valgt","Nei",0,40,0
"kandidat563",2015,"frp",7,5,"Vara","Nei",1,523,536
"kandidat564",2015,"frp",14,15,"Ikke valgt","Nei",0,224,15
"kandidat565",2015,"frp",18,24,"Ikke valgt","Nei",1,158,6
"kandidat566",2015,"frp",26,23,"Ikke valgt","Nei",1,165,12
"kandidat567",2015,"frp",33,17,"Ikke valgt","Nei",0,209,356
"kandidat568",2015,"frp",28,26,"Ikke valgt","Nei",1,148,107
"kandidat569",2015,"frp",19,28,"Ikke valgt","Nei",0,139,0
"kandidat570",2015,"frp",6,9,"Vara","Nei",1,339,21
